batch,set,region,Site ID,Date,Start Time,End Time,Length,Clip Path,Anth,Bio,Geo,Sil,Auto,Airc,Mach,Flare,Bird,Mam,Bug,Wind,Rain,Water,Truck,Car,Prop,Helo,Jet,Corv,SongB,DGS,Grous,Crane,Loon,SeaB,Owl,Hum,Rapt,Woop,ShorB,Woof,Bear,Mous,Deer,Weas,Meow,Hare,Shrew,Mosq,Fly
1,valid,prudhoe,12,05/20/2019,07:00:00.000000,07:00:10.000000,00:00:10.000000,prudhoe/12/S4A10268_20190520_070000_0m_0s__0m_30s_splt-0.wav,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,valid,prudhoe,12,05/20/2019,07:00:10.000000,07:00:20.000000,00:00:10.000000,prudhoe/12/S4A10268_20190520_070000_0m_0s__0m_30s_splt-1.wav,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,valid,prudhoe,12,05/20/2019,07:00:20.000000,07:00:30.000000,00:00:10.000000,prudhoe/12/S4A10268_20190520_070000_0m_0s__0m_30s_splt-2.wav,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,valid,prudhoe,12,05/20/2019,07:00:37.000000,07:00:47.000000,00:00:10.000000,prudhoe/12/S4A10268_20190520_070000_0m_37s__1m_5s_splt-0.wav,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,valid,prudhoe,12,05/20/2019,07:00:47.000000,07:00:57.000000,00:00:10.000000,prudhoe/12/S4A10268_20190520_070000_0m_37s__1m_5s_splt-1.wav,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,valid,prudhoe,12,05/20/2019,07:00:57.000000,07:01:05.000000,00:00:08.000000,prudhoe/12/prudhoe_12_S4A10268_20190520_070000_exact_2019-05-20_07-00-57_0m_0s__0m_10s.wav,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,valid,prudhoe,12,05/20/2019,07:01:20.000000,07:01:30.000000,00:00:10.000000,prudhoe/12/S4A10268_20190520_070000_1m_20s__1m_40s_splt-0.wav,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,valid,prudhoe,12,05/20/2019,07:01:30.000000,07:01:40.000000,00:00:10.000000,prudhoe/12/S4A10268_20190520_070000_1m_20s__1m_40s_splt-1.wav,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,valid,prudhoe,12,05/20/2019,07:02:03.000000,07:02:08.000000,00:00:05.000000,prudhoe/12/prudhoe_12_S4A10268_20190520_070000_exact_2019-05-20_07-02-03_0m_0s__0m_10s.wav,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,valid,prudhoe,12,05/20/2019,07:02:10.000000,07:02:20.000000,00:00:10.000000,prudhoe/12/S4A10268_20190520_070000_2m_10s__3m_30s_splt-0.wav,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,valid,prudhoe,12,05/20/2019,07:02:20.000000,07:02:30.000000,00:00:10.000000,prudhoe/12/S4A10268_20190520_070000_2m_10s__3m_30s_splt-1.wav,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,valid,prudhoe,12,05/20/2019,07:02:30.000000,07:02:40.000000,00:00:10.000000,prudhoe/12/S4A10268_20190520_070000_2m_10s__3m_30s_splt-2.wav,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,valid,prudhoe,12,05/20/2019,07:02:40.000000,07:02:50.000000,00:00:10.000000,prudhoe/12/S4A10268_20190520_070000_2m_10s__3m_30s_splt-3.wav,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,valid,prudhoe,12,05/20/2019,07:02:50.000000,07:03:00.000000,00:00:10.000000,prudhoe/12/S4A10268_20190520_070000_2m_10s__3m_30s_splt-4.wav,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,valid,prudhoe,12,05/20/2019,07:03:00.000000,07:03:10.000000,00:00:10.000000,prudhoe/12/S4A10268_20190520_070000_2m_10s__3m_30s_splt-5.wav,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,valid,prudhoe,12,05/20/2019,07:03:10.000000,07:03:20.000000,00:00:10.000000,prudhoe/12/S4A10268_20190520_070000_2m_10s__3m_30s_splt-6.wav,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,valid,prudhoe,12,05/20/2019,07:03:20.000000,07:03:30.000000,00:00:10.000000,prudhoe/12/S4A10268_20190520_070000_2m_10s__3m_30s_splt-7.wav,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,valid,prudhoe,12,05/20/2019,07:03:50.000000,07:04:00.000000,00:00:10.000000,prudhoe/12/S4A10268_20190520_070000_3m_50s__4m_30s_splt-0.wav,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
